episode_id,object_type,episode_dir,task,num_actions,duration_s,converged,termination_reason,truncated,num_chunks,num_images,actions_csv,manual_success,verdict_description,verdict_reason,oscillation_class,sl_major_rev,ef_major_rev,total_major_rev,sl_range,ef_range,sl_rev_per_s,ef_rev_per_s,max_rev_per_s,sl_mean_v,ef_mean_v
bag__004_bag,bag,004_bag,put the bag on the tray,462,25.6,TRUE,,FALSE,19,39,actions/bag__004_bag.csv,TRUE,"Pouch sits beside the tray at the start with the plush toy and banana as untouched distractors nearby. The arm approaches from above, closes its gripper around the pouch around the mid-episode frames, lifts and rotates it slightly, then lowers it back down just to the left, now overlapping the tray's edge. By the final frames the pouch is resting on top of the pink tray (tray corner visible peeking out from beneath it), while the plush and banana remain undisturbed in their original spots.",Final frame shows the pouch relocated onto the tray surface; no other object was moved.,normal,5,3,8,130.8,121.5,0.298,0.179,0.298,1.107,0.972
bag__012_bag,bag,012_bag,put the bag on the tray,468,24.2,TRUE,,FALSE,19,39,actions/bag__012_bag.csv,TRUE,"Pouch starts to the lower-right of frame with plush and banana at the top, tray empty and clearly visible at far right. The arm swings down, grips the pouch firmly around the middle of the episode (visible clamped and lifted vertically), then carries it rightward toward the tray's original position. By the final frames the tray is no longer visible as a separate empty rectangle - the pouch now occupies that same spot, consistent with it being set down on top of the tray.","Pouch is grasped, transported to the tray's location, and the tray disappears from view (covered by the pouch) by the last frame.",normal,8,6,14,124,108.6,0.473,0.355,0.473,1.353,1.15
bag__019_bag,bag,019_bag,put the bag on the tray,513,26.6,TRUE,,FALSE,21,43,actions/bag__019_bag.csv,FALSE,"Pouch sits at the top of frame beside the tray for the entire episode and is never touched. Instead, the arm approaches and grips the banana, lifting it and carrying it rightward into the tray over the second half of the episode. In the final frames the banana is resting inside the tray while the plush toy has been nudged aside near the gripper; the pouch is completely undisturbed in its starting position.",Wrong object grasped: the banana (a distractor) was placed on the tray while the target pouch was never touched.,normal,2,1,3,130.2,106.7,0.106,0.053,0.106,1.014,0.837
bag__026_bag,bag,026_bag,put the bag on the tray,519,26.5,TRUE,,FALSE,21,43,actions/bag__026_bag.csv,FALSE,"Pouch and plush toy start overlapping at the top of frame with banana below and an empty tray at right. The arm hovers and makes brief contact near the pouch/plush cluster mid-episode but doesn't achieve a clean grasp; by the later frames it appears to nudge the banana slightly further from the tray. In the final frames the pouch and plush remain clustered together at the top, the tray is still empty, and the gripper is retracted near the center of the workspace without holding anything.",No object reaches the tray by the end; the pouch is left in essentially its starting position and the tray stays empty.,normal,9,7,16,125.8,118.8,0.476,0.37,0.476,1.44,1.287
bag__033_bag,bag,033_bag,put the bag on the tray,641,32,FALSE,,FALSE,26,53,actions/bag__033_bag.csv,FALSE,"Pouch begins horizontally at the top of frame next to the plush and an empty tray. Around a third of the way through, the gripper closes on the pouch and lifts it clearly off the surface, rotating it through several orientations over many frames (this episode runs unusually long, 26 chunks). Rather than carrying it toward the tray, the arm sets the pouch down at the far left of the frame, well away from the tray, and spends the remaining frames hovering near the plush toy without a clear placement.",The correct object was grasped and lifted but was set back down away from the tray; the tray remains empty at episode end.,oscillation,17,15,32,163.8,157.1,0.717,0.633,0.717,1.322,1.407
bag__040_bag,bag,040_bag,put the bag on the tray,421,22.8,TRUE,,FALSE,17,35,actions/bag__040_bag.csv,FALSE,"Pouch starts at the top-left with the plush at top-right beside an empty tray. The gripper reaches in and makes contact with the pouch around a quarter of the way through, appearing to grasp and lift it briefly, but the pouch ends up back near its original spot at the bottom-left of frame for the remainder of the episode. The gripper spends the final third of the episode oscillating near the plush toy without approaching the tray again. The tray stays visibly empty in every frame through to the end.",A grasp on the pouch was attempted but the object was never carried to the tray; final position of the pouch is essentially unchanged from the start.,oscillation,10,6,16,162.5,145.7,0.658,0.395,0.658,1.291,1.121
bag__047_bag,bag,047_bag,put the bag on the tray,408,22.7,TRUE,,FALSE,17,35,actions/bag__047_bag.csv,TRUE,"Pouch begins at the top-left beside the plush toy, tray at top-right, banana below. The gripper approaches, clamps around the pouch near the midpoint of the episode, lifts and rotates it, and carries it down and to the right over several frames. In the final frames the banana sits at the left, and the pouch is now resting at the right with the pink tray edges visible around it; the plush toy has moved out of frame at the top.",Pouch is transported across the workspace and ends resting on the tray in the final frames.,normal,7,3,10,117.6,95.6,0.47,0.201,0.47,1.346,0.995
bag__054_bag,bag,054_bag,put the bag on the tray,444,23.7,TRUE,,FALSE,18,37,actions/bag__054_bag.csv,FALSE,"Pouch sits at top-left for the whole episode, undisturbed. Initially the plush toy already overlaps part of the tray. The gripper reaches down toward the banana at the bottom of frame, closes around it partway through the episode, and carries it up and to the right onto the tray. In the final frames the banana is resting on the tray next to the plush, while the pouch remains exactly where it started at the top-left.","Wrong object grasped: the banana was placed on the tray instead of the pouch, which was never touched.",normal,11,10,21,140.3,131.8,0.675,0.613,0.675,1.569,1.682
bag__061_bag,bag,061_bag,put the bag on the tray,520,25.8,TRUE,,FALSE,21,43,actions/bag__061_bag.csv,FALSE,"Unusually, the plush toy starts already resting on the tray while the pouch sits separately at top-left and the banana in the middle. The arm reaches toward the pouch, appears to grip and lift it around mid-episode, then carries it down toward the banana. In the final frames the pouch has been set down next to the banana at the bottom-left, away from the tray, and the plush toy has been displaced off the tray, leaving the tray empty and visible at top-right.","The pouch was moved but not placed on the tray, and the plush toy that had been resting on the tray was knocked off, leaving the tray empty at the end.",normal,8,6,14,141.8,143.1,0.419,0.314,0.419,1.214,1.16
bag__068_bag,bag,068_bag,put the bag on the tray,738,35.1,TRUE,,FALSE,30,61,actions/bag__068_bag.csv,TRUE,"This is a long episode (30 chunks, ~35 seconds). Pouch starts at top-left with the plush toy draped over it and banana nearby, tray empty at right. The gripper approaches and works into the cluster across the first several frames, eventually gripping the pouch by the mid-episode. Through the middle frames the arm lifts and rotates the pouch (visible as a large dark cylindrical object) through a wide arc, carrying it rightward across many frames. The banana and plush are displaced during the process. In the final frames the pouch rests at the right side with the tray's pink edges visible beneath and around it, the banana beside it, and the plush toy nearby.","Pouch is grasped, carried through a long rotating arc, and ends resting on the tray in the final frames.",oscillation,14,14,28,145.7,148.6,0.53,0.53,0.53,2.217,1.97
