episode_id,object_type,episode_dir,task,num_actions,duration_s,converged,termination_reason,truncated,num_chunks,num_images,actions_csv,manual_success
bag__004_bag,bag,004_bag,put the bag on the tray,462,25.6,True,,False,19,39,actions/bag__004_bag.csv,
bag__012_bag,bag,012_bag,put the bag on the tray,468,24.2,True,,False,19,39,actions/bag__012_bag.csv,
bag__019_bag,bag,019_bag,put the bag on the tray,513,26.6,True,,False,21,43,actions/bag__019_bag.csv,
bag__026_bag,bag,026_bag,put the bag on the tray,519,26.5,True,,False,21,43,actions/bag__026_bag.csv,
bag__033_bag,bag,033_bag,put the bag on the tray,641,32.0,False,,False,26,53,actions/bag__033_bag.csv,
bag__040_bag,bag,040_bag,put the bag on the tray,421,22.8,True,,False,17,35,actions/bag__040_bag.csv,
bag__047_bag,bag,047_bag,put the bag on the tray,408,22.7,True,,False,17,35,actions/bag__047_bag.csv,
bag__054_bag,bag,054_bag,put the bag on the tray,444,23.7,True,,False,18,37,actions/bag__054_bag.csv,
bag__061_bag,bag,061_bag,put the bag on the tray,520,25.8,True,,False,21,43,actions/bag__061_bag.csv,
bag__068_bag,bag,068_bag,put the bag on the tray,738,35.1,True,,False,30,61,actions/bag__068_bag.csv,
bag__075_bag,bag,075_bag,put the bag on the tray,1150,52.8,True,,False,46,93,actions/bag__075_bag.csv,
bag__082_bag,bag,082_bag,put the bag on the tray,597,30.8,True,,False,25,51,actions/bag__082_bag.csv,
bag__089_bag,bag,089_bag,put the bag on the tray,103,11.3,True,,False,4,9,actions/bag__089_bag.csv,
bag__092_bag,bag,092_bag,put the bag on the tray,105,11.2,True,,False,5,11,actions/bag__092_bag.csv,
bag__096_bag,bag,096_bag,put the bag on the tray,124,9.5,True,,False,4,9,actions/bag__096_bag.csv,
bag__103_bag,bag,103_bag,put the bag on the tray,663,32.7,True,,False,27,55,actions/bag__103_bag.csv,
box__000_box,box,000_box,put the box on the tray,433,22.3,True,,False,17,35,actions/box__000_box.csv,
box__007_box,box,007_box,put the box on the tray,400,23.3,True,,False,17,35,actions/box__007_box.csv,
box__015_box,box,015_box,put the box on the tray,591,30.0,True,,False,24,49,actions/box__015_box.csv,
box__022_box,box,022_box,put the box on the tray,466,25.7,True,,False,19,39,actions/box__022_box.csv,
box__029_box,box,029_box,put the box on the tray,592,30.5,True,,False,24,49,actions/box__029_box.csv,
box__036_box,box,036_box,put the box on the tray,546,29.0,True,,False,23,47,actions/box__036_box.csv,
box__043_box,box,043_box,put the box on the tray,494,26.9,True,,False,21,43,actions/box__043_box.csv,
box__050_box,box,050_box,put the box on the tray,463,24.5,True,,False,19,39,actions/box__050_box.csv,
box__057_box,box,057_box,put the box on the tray,541,26.7,True,,False,22,45,actions/box__057_box.csv,
box__064_box,box,064_box,put the box on the tray,146,13.4,True,,False,6,13,actions/box__064_box.csv,
box__071_box,box,071_box,put the box on the tray,421,22.9,True,,False,17,35,actions/box__071_box.csv,
box__078_box,box,078_box,put the box on the tray,1006,47.0,True,,False,41,83,actions/box__078_box.csv,
box__085_box,box,085_box,put the box on the tray,103,11.1,True,,False,4,9,actions/box__085_box.csv,
box__099_box,box,099_box,put the box on the tray,177,10.9,True,,False,7,15,actions/box__099_box.csv,
brown__001_brown,brown,001_brown,put the brown pouch on the tray,481,25.0,True,,False,20,41,actions/brown__001_brown.csv,
brown__006_brown,brown,006_brown,put the brown cylinder on the tray,421,23.8,True,,False,17,35,actions/brown__006_brown.csv,
brown__008_brown,brown,008_brown,put the brown pouch on the tray,421,21.5,True,,False,17,35,actions/brown__008_brown.csv,
brown__014_brown,brown,014_brown,put the brown cylinder on the tray,464,25.8,True,,False,19,39,actions/brown__014_brown.csv,
brown__016_brown,brown,016_brown,put the brown pouch on the tray,470,25.9,True,,False,19,39,actions/brown__016_brown.csv,
brown__021_brown,brown,021_brown,put the brown cylinder on the tray,569,27.7,True,,False,23,47,actions/brown__021_brown.csv,
brown__023_brown,brown,023_brown,put the brown pouch on the tray,492,26.0,True,,False,20,41,actions/brown__023_brown.csv,
brown__028_brown,brown,028_brown,put the brown cylinder on the tray,1326,60.9,True,,False,54,109,actions/brown__028_brown.csv,
brown__030_brown,brown,030_brown,put the brown pouch on the tray,1326,62.9,False,,False,55,111,actions/brown__030_brown.csv,
brown__035_brown,brown,035_brown,put the brown cylinder no the tray,543,28.0,True,,False,22,45,actions/brown__035_brown.csv,
brown__037_brown,brown,037_brown,put the brown pouch on the tray,541,27.2,True,,False,22,45,actions/brown__037_brown.csv,
brown__042_brown,brown,042_brown,put the brown pouch on the tray,494,25.2,True,,False,20,41,actions/brown__042_brown.csv,
brown__044_brown,brown,044_brown,put the brown pouch on the tray,392,20.6,True,,False,16,33,actions/brown__044_brown.csv,
brown__049_brown,brown,049_brown,put the brown cylinder on the tray,396,21.6,True,,False,16,33,actions/brown__049_brown.csv,
brown__051_brown,brown,051_brown,put the brown pouch on the tray,481,25.5,True,,False,20,41,actions/brown__051_brown.csv,
brown__056_brown,brown,056_brown,put the brown cylinder on the tray,593,31.1,True,,False,25,51,actions/brown__056_brown.csv,
brown__058_brown,brown,058_brown,put the brown pouch on the tray,568,28.7,True,,False,23,47,actions/brown__058_brown.csv,
brown__063_brown,brown,063_brown,put the brown cylinder on the tray,519,26.0,True,,False,21,43,actions/brown__063_brown.csv,
brown__065_brown,brown,065_brown,put the brown pouch on the tray,516,26.0,True,,False,21,43,actions/brown__065_brown.csv,
brown__070_brown,brown,070_brown,put the brown cylinder on the tray,493,24.7,True,,False,20,41,actions/brown__070_brown.csv,
brown__072_brown,brown,072_brown,put the brown pouch on the tray,866,42.0,False,,False,36,73,actions/brown__072_brown.csv,
brown__077_brown,brown,077_brown,put the brown cylinder on the tray,421,22.6,True,,False,17,35,actions/brown__077_brown.csv,
brown__079_brown,brown,079_brown,put the brown pouch on the tray,541,27.9,True,,False,23,47,actions/brown__079_brown.csv,
brown__084_brown,brown,084_brown,put the brown cylinder on the tray,641,33.6,True,,False,26,53,actions/brown__084_brown.csv,
brown__086_brown,brown,086_brown,put the brown pouch on the tray,451,22.7,True,,False,19,39,actions/brown__086_brown.csv,
brown__091_brown,brown,091_brown,put the brown cylinder on the tray,122,11.0,True,,False,4,9,actions/brown__091_brown.csv,
brown__093_brown,brown,093_brown,put the brown pouch on the tray,460,23.4,False,,False,18,37,actions/brown__093_brown.csv,
brown__098_brown,brown,098_brown,put the brown cylinder on the tray,126,11.0,True,,False,4,9,actions/brown__098_brown.csv,
brown__100_brown,brown,100_brown,put the brown pouch on the tray,568,28.6,True,,False,23,47,actions/brown__100_brown.csv,
brown__105_brown,brown,105_brown,put the brown cylinder on the tray,151,11.6,True,,False,4,9,actions/brown__105_brown.csv,
cylinder__005_cylinder,cylinder,005_cylinder,put the cylinder on the tray,592,29.9,False,,False,24,49,actions/cylinder__005_cylinder.csv,
cylinder__013_cylinder,cylinder,013_cylinder,put the cylinder on the tray,440,24.1,True,,False,19,39,actions/cylinder__013_cylinder.csv,
cylinder__020_cylinder,cylinder,020_cylinder,put the cylinder on the tray,530,27.6,True,,False,22,45,actions/cylinder__020_cylinder.csv,
cylinder__027_cylinder,cylinder,027_cylinder,put the cylinder on the tray,495,26.4,True,,False,20,41,actions/cylinder__027_cylinder.csv,
cylinder__034_cylinder,cylinder,034_cylinder,put the cylinder on the tray,523,26.9,False,,False,22,45,actions/cylinder__034_cylinder.csv,
cylinder__041_cylinder,cylinder,041_cylinder,put the cylinder on the tray,564,30.6,True,,False,23,47,actions/cylinder__041_cylinder.csv,
cylinder__048_cylinder,cylinder,048_cylinder,put the cylinder on the tray,470,23.8,True,,False,19,39,actions/cylinder__048_cylinder.csv,
cylinder__055_cylinder,cylinder,055_cylinder,put the cylinder on the tray,471,24.4,True,,False,19,39,actions/cylinder__055_cylinder.csv,
cylinder__062_cylinder,cylinder,062_cylinder,put the cylinder on the tray,617,30.9,True,,False,25,51,actions/cylinder__062_cylinder.csv,
cylinder__069_cylinder,cylinder,069_cylinder,put the cylinder on the tray,419,22.7,True,,False,17,35,actions/cylinder__069_cylinder.csv,
cylinder__076_cylinder,cylinder,076_cylinder,put the cylinder on the tray,469,26.0,True,,False,20,41,actions/cylinder__076_cylinder.csv,
cylinder__083_cylinder,cylinder,083_cylinder,put the cylinder on the tray,358,20.3,False,,False,15,31,actions/cylinder__083_cylinder.csv,
cylinder__090_cylinder,cylinder,090_cylinder,put the cylinder on the tray,176,14.0,True,,False,5,11,actions/cylinder__090_cylinder.csv,
cylinder__097_cylinder,cylinder,097_cylinder,put the cylinder on the tray,160,13.9,True,,False,5,11,actions/cylinder__097_cylinder.csv,
cylinder__104_cylinder,cylinder,104_cylinder,put the cylinder on the tray,118,11.4,True,,False,4,9,actions/cylinder__104_cylinder.csv,
purse__003_purse,purse,003_purse,put the purse on the tray,421,22.2,True,,False,17,35,actions/purse__003_purse.csv,
purse__011_purse,purse,011_purse,put the purse on the tray,421,22.8,True,,False,17,35,actions/purse__011_purse.csv,
purse__018_purse,purse,018_purse,put the purse on the tray,813,40.7,True,,False,33,67,actions/purse__018_purse.csv,
purse__025_purse,purse,025_purse,put the purse on the tray,852,41.2,True,,False,35,71,actions/purse__025_purse.csv,
purse__032_purse,purse,032_purse,put the purse on the tray,617,30.4,True,,False,25,51,actions/purse__032_purse.csv,
purse__039_purse,purse,039_purse,put the purse on the tray,1319,62.8,False,,False,54,109,actions/purse__039_purse.csv,
purse__046_purse,purse,046_purse,put the purse on the tray,421,22.3,True,,False,17,35,actions/purse__046_purse.csv,
purse__053_purse,purse,053_purse,put the purse on the tray,739,36.5,False,,False,30,61,actions/purse__053_purse.csv,
purse__060_purse,purse,060_purse,put the purse on the tray,612,29.8,True,,False,25,51,actions/purse__060_purse.csv,
purse__067_purse,purse,067_purse,put the purse on the tray,1340,60.4,False,,False,55,111,actions/purse__067_purse.csv,
purse__074_purse,purse,074_purse,put the purse on the tray,635,31.5,True,,False,25,51,actions/purse__074_purse.csv,
purse__081_purse,purse,081_purse,put the purse on the tray,126,9.7,True,,False,5,11,actions/purse__081_purse.csv,
purse__088_purse,purse,088_purse,put the purse on the tray,494,25.2,True,,False,20,41,actions/purse__088_purse.csv,
purse__095_purse,purse,095_purse,put the purse on the tray,392,21.1,False,,False,16,33,actions/purse__095_purse.csv,
purse__102_purse,purse,102_purse,put the purse on the tray,616,29.7,True,,False,25,51,actions/purse__102_purse.csv,
roll__002_roll,roll,002_roll,put the roll on the tray,372,20.1,True,,False,15,31,actions/roll__002_roll.csv,
roll__009_roll,roll,009_roll,put the roll on the pouch,423,21.7,True,,False,17,35,actions/roll__009_roll.csv,
roll__010_roll,roll,010_roll,put the roll on the tray,419,23.5,True,,False,17,35,actions/roll__010_roll.csv,
roll__017_roll,roll,017_roll,put the roll on the tray,298,17.6,True,,False,12,25,actions/roll__017_roll.csv,
roll__024_roll,roll,024_roll,put the roll on the tray,444,23.3,True,,False,18,37,actions/roll__024_roll.csv,
roll__031_roll,roll,031_roll,put the roll on the tray,469,24.1,True,,False,19,39,actions/roll__031_roll.csv,
roll__038_roll,roll,038_roll,put the roll on the tray,688,34.0,False,,False,28,57,actions/roll__038_roll.csv,
roll__045_roll,roll,045_roll,put the roll on the tray,568,30.3,True,,False,23,47,actions/roll__045_roll.csv,
roll__052_roll,roll,052_roll,put the roll on the tray,471,23.9,True,,False,19,39,actions/roll__052_roll.csv,
roll__059_roll,roll,059_roll,put the roll on the tray,597,30.9,True,,False,25,51,actions/roll__059_roll.csv,
roll__066_roll,roll,066_roll,put the roll on the tray,177,11.9,True,,False,7,15,actions/roll__066_roll.csv,
roll__073_roll,roll,073_roll,put the roll on the tray,568,28.8,True,,False,23,47,actions/roll__073_roll.csv,
roll__080_roll,roll,080_roll,put the roll on the tray,497,25.6,False,,False,21,43,actions/roll__080_roll.csv,
roll__087_roll,roll,087_roll,put the roll on the tray,225,13.2,True,,False,9,19,actions/roll__087_roll.csv,
roll__094_roll,roll,094_roll,put the roll on the tray,104,9.6,True,,False,3,7,actions/roll__094_roll.csv,
roll__101_roll,roll,101_roll,put the roll on the tray,636,31.8,True,,False,25,51,actions/roll__101_roll.csv,
